in,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,style,titratable_acidity_ratio,acidity_index,sulfur_dioxide_ratio,chlorides_density_ratio,alcohol_ph_index,sulphates_alcohol_ratio,pH_category,quality_category
1394,6.4,0.57,0.14,3.9,0.07,27.0,73.0,0.99669,3.32,0.48,9.2,5,red,11.228070175438598,7.11,0.3698630136986301,0.07023246947395881,30.543999999999997,0.052173913043478265,medium,average
1395,8.6,0.685,0.1,1.6,0.092,3.0,12.0,0.99745,3.31,0.65,9.55,6,red,12.554744525547443,9.385,0.25,0.09223519975938643,31.610500000000002,0.06806282722513089,medium,average
1396,8.7,0.675,0.1,1.6,0.09,4.0,11.0,0.99745,3.31,0.65,9.55,5,red,12.888888888888888,9.475,0.36363636363636365,0.0902300867211389,31.610500000000002,0.06806282722513089,medium,average
1397,7.3,0.59,0.26,2.0,0.08,17.0,104.0,0.99584,3.28,0.52,9.9,5,red,12.372881355932204,8.15,0.16346153846153846,0.08033419023136247,32.472,0.052525252525252523,medium,average
1398,7.0,0.6,0.12,2.2,0.083,13.0,28.0,0.9966,3.52,0.62,10.2,7,red,11.666666666666668,7.72,0.4642857142857143,0.08328316275336144,35.903999999999996,0.0607843137254902,high,good
1399,7.2,0.67,0.0,2.2,0.068,10.0,24.0,0.9956,3.42,0.72,11.1,6,red,10.746268656716417,7.87,0.4166666666666667,0.06830052229811169,37.961999999999996,0.06486486486486487,medium,average
1400,7.9,0.69,0.21,2.1,0.08,33.0,141.0,0.9962,3.25,0.51,9.9,5,red,11.449275362318842,8.8,0.23404255319148937,0.08030515960650472,32.175000000000004,0.051515151515151514,medium,average
1402,7.6,0.3,0.42,2.0,0.052,6.0,24.0,0.9963,3.44,0.82,11.9,6,red,25.333333333333332,8.32,0.25,0.05219311452373783,40.936,0.06890756302521008,medium,average
1403,7.2,0.33,0.33,1.7,0.061,3.0,13.0,0.996,3.23,1.1,10.0,8,red,21.818181818181817,7.86,0.23076923076923078,0.06124497991967871,32.3,0.11000000000000001,medium,good
1404,8.0,0.5,0.39,2.6,0.082,12.0,46.0,0.9985,3.43,0.62,10.7,6,red,16.0,8.89,0.2608695652173913,0.08212318477716575,36.701,0.05794392523364486,medium,average
1405,7.7,0.28,0.3,2.0,0.062,18.0,34.0,0.9952,3.28,0.9,11.3,7,red,27.499999999999996,8.280000000000001,0.5294117647058824,0.06229903536977492,37.064,0.07964601769911504,medium,good
1406,8.2,0.24,0.34,5.1,0.062,8.0,22.0,0.9974,3.22,0.94,10.9,6,red,34.166666666666664,8.78,0.36363636363636365,0.062161620212552636,35.098000000000006,0.08623853211009173,medium,average
1407,6.0,0.51,0.0,2.1,0.064,40.0,54.0,0.995,3.54,0.93,10.7,6,red,11.76470588235294,6.51,0.7407407407407407,0.06432160804020101,37.878,0.0869158878504673,high,average
1408,8.1,0.29,0.36,2.2,0.048,35.0,53.0,0.995,3.27,1.01,12.4,7,red,27.931034482758623,8.749999999999998,0.660377358490566,0.04824120603015075,40.548,0.0814516129032258,medium,good
1410,6.6,0.96,0.0,1.8,0.082,5.0,16.0,0.9936,3.5,0.44,11.9,6,red,6.875,7.56,0.3125,0.08252818035426732,41.65,0.03697478991596639,high,average
1411,6.4,0.47,0.4,2.4,0.071,8.0,19.0,0.9963,3.56,0.73,10.6,6,red,13.617021276595747,7.2700000000000005,0.42105263157894735,0.07126367559971895,37.736,0.06886792452830189,high,average
1413,9.9,0.57,0.25,2.0,0.104,12.0,89.0,0.9963,3.04,0.9,10.1,5,red,17.368421052631582,10.72,0.1348314606741573,0.10438622904747566,30.704,0.08910891089108912,medium,average
1414,10.0,0.32,0.59,2.2,0.077,3.0,15.0,0.9994,3.2,0.78,9.6,5,red,31.25,10.91,0.2,0.07704622773664199,30.72,0.08125,medium,average
1415,6.2,0.58,0.0,1.6,0.065,8.0,18.0,0.9966,3.56,0.84,9.4,5,red,10.689655172413794,6.78,0.4444444444444444,0.06522175396347582,33.464,0.08936170212765956,high,average
1417,7.3,0.34,0.33,2.5,0.064,21.0,37.0,0.9952,3.35,0.77,12.1,7,red,21.470588235294116,7.97,0.5675675675675675,0.06430868167202573,40.535,0.06363636363636364,medium,good
1418,7.8,0.53,0.01,1.6,0.077,3.0,19.0,0.995,3.16,0.46,9.8,5,red,14.716981132075471,8.34,0.15789473684210525,0.07738693467336684,30.968000000000004,0.04693877551020408,medium,average
1419,7.7,0.64,0.21,2.2,0.077,32.0,133.0,0.9956,3.27,0.45,9.9,5,red,12.03125,8.55,0.24060150375939848,0.07734029730815588,32.373000000000005,0.045454545454545456,medium,average
1421,7.5,0.4,0.18,1.6,0.079,24.0,58.0,0.9965,3.34,0.58,9.4,5,red,18.75,8.08,0.41379310344827586,0.07927747114902157,31.396,0.06170212765957446,medium,average
1422,7.0,0.54,0.0,2.1,0.079,39.0,55.0,0.9956,3.39,0.84,11.4,6,red,12.962962962962962,7.54,0.7090909090909091,0.07934913619927682,38.646,0.07368421052631578,medium,average
1423,6.4,0.53,0.09,3.9,0.123,14.0,31.0,0.9968,3.5,0.67,11.0,4,red,12.075471698113208,7.0200000000000005,0.45161290322580644,0.12339486356340289,38.5,0.06090909090909091,high,poor
1424,8.3,0.26,0.37,1.4,0.076,8.0,23.0,0.9974,3.26,0.7,9.6,6,red,31.923076923076923,8.93,0.34782608695652173,0.07619811509925807,31.295999999999996,0.07291666666666667,medium,average
1426,7.7,0.23,0.37,1.8,0.046,23.0,60.0,0.9971,3.41,0.71,12.1,6,red,33.47826086956522,8.3,0.38333333333333336,0.04613378798515695,41.261,0.05867768595041322,medium,average
1427,7.6,0.41,0.33,2.5,0.078,6.0,23.0,0.9957,3.3,0.58,11.2,5,red,18.536585365853657,8.34,0.2608695652173913,0.0783368484483278,36.959999999999994,0.05178571428571428,medium,average
1428,7.8,0.64,0.0,1.9,0.072,27.0,55.0,0.9962,3.31,0.63,11.0,5,red,12.1875,8.44,0.4909090909090909,0.07227464364585424,36.410000000000004,0.057272727272727274,medium,average
1429,7.9,0.18,0.4,2.2,0.049,38.0,67.0,0.996,3.33,0.93,11.3,5,red,43.88888888888889,8.48,0.5671641791044776,0.04919678714859438,37.629000000000005,0.08230088495575222,medium,average
1430,7.4,0.41,0.24,1.8,0.066,18.0,47.0,0.9956,3.37,0.62,10.4,5,red,18.04878048780488,8.05,0.3829787234042553,0.06629168340699076,35.048,0.05961538461538461,medium,average
1431,7.6,0.43,0.31,2.1,0.069,13.0,74.0,0.9958,3.26,0.54,9.9,6,red,17.674418604651162,8.34,0.17567567567567569,0.06929102229363326,32.274,0.05454545454545455,medium,average
1432,5.9,0.44,0.0,1.6,0.042,3.0,11.0,0.9944,3.48,0.85,11.7,6,red,13.40909090909091,6.340000000000001,0.2727272727272727,0.042236524537409496,40.715999999999994,0.07264957264957266,medium,average
1433,6.1,0.4,0.16,1.8,0.069,11.0,25.0,0.9955,3.42,0.74,10.1,7,red,15.249999999999998,6.66,0.44,0.06931190356604722,34.542,0.07326732673267326,medium,good
1434,10.2,0.54,0.37,15.4,0.214,55.0,95.0,1.00369,3.18,0.77,9.0,6,red,18.888888888888886,11.109999999999998,0.5789473684210527,0.21321324313283982,28.62,0.08555555555555555,medium,average
1436,10.0,0.38,0.38,1.6,0.169,27.0,90.0,0.99914,3.15,0.65,8.5,5,red,26.31578947368421,10.760000000000002,0.3,0.169145465099986,26.775,0.07647058823529412,medium,average
1437,6.8,0.915,0.29,4.8,0.07,15.0,39.0,0.99577,3.53,0.54,11.1,5,red,7.431693989071038,8.004999999999999,0.38461538461538464,0.07029735782359381,39.183,0.04864864864864865,high,average
1438,7.0,0.59,0.0,1.7,0.052,3.0,8.0,0.996,3.41,0.47,10.3,5,red,11.864406779661017,7.59,0.375,0.05220883534136546,35.123000000000005,0.04563106796116504,medium,average
1439,7.3,0.67,0.02,2.2,0.072,31.0,92.0,0.99566,3.32,0.68,11.06666667,6,red,10.895522388059701,7.989999999999999,0.33695652173913043,0.07231384207460377,36.7413333444,0.06144578311402236,medium,average
1440,7.2,0.37,0.32,2.0,0.062,15.0,28.0,0.9947,3.23,0.73,11.3,7,red,19.45945945945946,7.890000000000001,0.5357142857142857,0.06233035085955564,36.499,0.06460176991150442,medium,good
1441,7.4,0.785,0.19,5.2,0.094,19.0,98.0,0.99713,3.16,0.52,9.566666667,6,red,9.426751592356688,8.375,0.19387755102040816,0.09427055649714682,30.23066666772,0.0543554006949702,medium,average
1442,6.9,0.63,0.02,1.9,0.078,18.0,30.0,0.99712,3.4,0.75,9.8,5,red,10.952380952380953,7.55,0.6,0.07822528883183569,33.32,0.07653061224489795,medium,average
1443,6.9,0.58,0.2,1.75,0.058,8.0,22.0,0.99322,3.38,0.49,11.7,5,red,11.896551724137932,7.680000000000001,0.36363636363636365,0.05839592436720969,39.546,0.041880341880341884,medium,average
1444,7.3,0.67,0.02,2.2,0.072,31.0,92.0,0.99566,3.32,0.68,11.1,6,red,10.895522388059701,7.989999999999999,0.33695652173913043,0.07231384207460377,36.852,0.06126126126126127,medium,average
1445,7.4,0.785,0.19,5.2,0.094,19.0,98.0,0.99713,3.16,0.52,9.6,6,red,9.426751592356688,8.375,0.19387755102040816,0.09427055649714682,30.336,0.05416666666666667,medium,average
1447,6.8,0.67,0.0,1.9,0.08,22.0,39.0,0.99701,3.4,0.74,9.7,5,red,10.149253731343283,7.47,0.5641025641025641,0.08023991735288513,32.98,0.07628865979381444,medium,average
1448,6.9,0.58,0.01,1.9,0.08,40.0,54.0,0.99683,3.4,0.73,9.7,5,red,11.896551724137932,7.49,0.7407407407407407,0.08025440646850517,32.98,0.0752577319587629,medium,average
1449,7.2,0.38,0.31,2.0,0.056,15.0,29.0,0.99472,3.23,0.76,11.3,8,red,18.94736842105263,7.89,0.5172413793103449,0.056297249477239825,36.499,0.06725663716814159,medium,good
1451,7.8,0.32,0.44,2.7,0.104,8.0,17.0,0.99732,3.33,0.78,11.0,7,red,24.375,8.559999999999999,0.47058823529411764,0.10427946897685797,36.63,0.07090909090909091,medium,good
1452,6.6,0.58,0.02,2.0,0.062,37.0,53.0,0.99374,3.35,0.76,11.6,7,red,11.379310344827587,7.199999999999999,0.6981132075471698,0.06239056493650251,38.86,0.06551724137931035,medium,good
1453,7.6,0.49,0.33,1.9,0.074,27.0,85.0,0.99706,3.41,0.58,9.0,5,red,15.510204081632653,8.42,0.3176470588235294,0.0742182015124466,30.69,0.06444444444444444,medium,average
1454,11.7,0.45,0.63,2.2,0.073,7.0,23.0,0.99974,3.21,0.69,10.9,6,red,25.999999999999996,12.78,0.30434782608695654,0.07301898493608339,34.989,0.06330275229357797,medium,average
1455,6.5,0.9,0.0,1.6,0.052,9.0,17.0,0.99467,3.5,0.63,10.9,6,red,7.222222222222222,7.4,0.5294117647058824,0.05227864517880301,38.15,0.057798165137614675,high,average
1456,6.0,0.54,0.06,1.8,0.05,38.0,89.0,0.99236,3.3,0.5,10.55,6,red,11.11111111111111,6.6,0.42696629213483145,0.05038494094884921,34.815,0.04739336492890995,medium,average
1458,8.4,0.29,0.4,1.7,0.067,8.0,20.0,0.99603,3.39,0.6,10.5,5,red,28.965517241379313,9.09,0.4,0.06726705018925133,35.595,0.05714285714285714,medium,average
1459,7.9,0.2,0.35,1.7,0.054,7.0,15.0,0.99458,3.32,0.8,11.9,7,red,39.5,8.45,0.4666666666666667,0.054294274970339236,39.508,0.06722689075630252,medium,good
1460,6.4,0.42,0.09,2.3,0.054,34.0,64.0,0.99724,3.41,0.68,10.4,6,red,15.238095238095239,6.91,0.53125,0.05414945248886928,35.464000000000006,0.06538461538461539,medium,average
1461,6.2,0.785,0.0,2.1,0.06,6.0,13.0,0.99664,3.59,0.61,10.0,4,red,7.898089171974522,6.985,0.46153846153846156,0.060202279659656445,35.9,0.061,high,poor
1462,6.8,0.64,0.03,2.3,0.075,14.0,31.0,0.99545,3.36,0.58,10.4,6,red,10.625,7.47,0.45161290322580644,0.07534280978451957,34.944,0.055769230769230765,medium,average
1463,6.9,0.63,0.01,2.4,0.076,14.0,39.0,0.99522,3.34,0.53,10.8,6,red,10.952380952380953,7.54,0.358974358974359,0.07636502481863307,36.072,0.049074074074074076,medium,average
1464,6.8,0.59,0.1,1.7,0.063,34.0,53.0,0.9958,3.41,0.67,9.7,5,red,11.525423728813559,7.489999999999999,0.6415094339622641,0.06326571600723037,33.077,0.06907216494845361,medium,average
1466,7.3,0.48,0.32,2.1,0.062,31.0,54.0,0.99728,3.3,0.65,10.0,7,red,15.208333333333334,8.1,0.5740740740740741,0.06216909995186908,33.0,0.065,medium,good
1467,6.7,1.04,0.08,2.3,0.067,19.0,32.0,0.99648,3.52,0.57,11.0,4,red,6.4423076923076925,7.82,0.59375,0.06723667308927425,38.72,0.05181818181818181,high,poor
1469,7.3,0.98,0.05,2.1,0.061,20.0,49.0,0.99705,3.31,0.55,9.7,3,red,7.448979591836735,8.33,0.40816326530612246,0.06118048242314829,32.107,0.05670103092783506,medium,poor
1470,10.0,0.69,0.11,1.4,0.084,8.0,24.0,0.99578,2.88,0.47,9.7,5,red,14.492753623188406,10.799999999999999,0.3333333333333333,0.08435598224507422,27.935999999999996,0.04845360824742268,low,average
1471,6.7,0.7,0.08,3.75,0.067,8.0,16.0,0.99334,3.43,0.52,12.6,5,red,9.571428571428573,7.48,0.5,0.06744921175025671,43.218,0.041269841269841276,medium,average
1472,7.6,0.35,0.6,2.6,0.073,23.0,44.0,0.99656,3.38,0.79,11.1,6,red,21.714285714285715,8.549999999999999,0.5227272727272727,0.0732519868347114,37.518,0.07117117117117118,medium,average
1473,6.1,0.6,0.08,1.8,0.071,14.0,45.0,0.99336,3.38,0.54,11.0,5,red,10.166666666666666,6.779999999999999,0.3111111111111111,0.07147459128613996,37.18,0.049090909090909095,medium,average
1474,9.9,0.5,0.5,13.8,0.205,48.0,82.0,1.00242,3.16,0.75,8.8,5,red,19.8,10.9,0.5853658536585366,0.20450509766365393,27.808000000000003,0.08522727272727272,medium,average
1475,5.3,0.47,0.11,2.2,0.048,16.0,89.0,0.99182,3.54,0.88,13.56666667,7,red,11.27659574468085,5.88,0.1797752808988764,0.04839587828436612,48.0260000118,0.06486486484892755,high,good
1477,5.3,0.47,0.11,2.2,0.048,16.0,89.0,0.99182,3.54,0.88,13.6,7,red,11.27659574468085,5.88,0.1797752808988764,0.04839587828436612,48.144,0.06470588235294118,high,good
1478,7.1,0.875,0.05,5.7,0.082,3.0,14.0,0.99808,3.4,0.52,10.2,3,red,8.114285714285714,8.025,0.21428571428571427,0.08215774286630331,34.68,0.05098039215686275,medium,poor
1479,8.2,0.28,0.6,3.0,0.104,10.0,22.0,0.99828,3.39,0.68,10.6,5,red,29.28571428571428,9.079999999999998,0.45454545454545453,0.10417918820371039,35.934,0.06415094339622643,medium,average
1480,5.6,0.62,0.03,1.5,0.08,6.0,13.0,0.99498,3.66,0.62,10.1,4,red,9.032258064516128,6.25,0.46153846153846156,0.08040362620354179,36.966,0.061386138613861385,high,poor
1482,7.2,0.58,0.54,2.1,0.114,3.0,9.0,0.99719,3.33,0.57,10.3,4,red,12.413793103448278,8.32,0.3333333333333333,0.11432124269196442,34.29900000000001,0.05533980582524271,medium,poor
1483,8.1,0.33,0.44,1.5,0.042,6.0,12.0,0.99542,3.35,0.61,10.7,5,red,24.545454545454543,8.87,0.5,0.04219324506238573,35.845,0.05700934579439253,medium,average
1484,6.8,0.91,0.06,2.0,0.06,4.0,11.0,0.99592,3.53,0.64,10.9,4,red,7.472527472527472,7.77,0.36363636363636365,0.06024580287573299,38.477,0.058715596330275226,high,poor
1485,7.0,0.655,0.16,2.1,0.074,8.0,25.0,0.99606,3.37,0.55,9.7,5,red,10.687022900763358,7.815,0.32,0.07429271329036403,32.689,0.05670103092783506,medium,average
1486,6.8,0.68,0.21,2.1,0.07,9.0,23.0,0.99546,3.38,0.6,10.3,5,red,9.999999999999998,7.6899999999999995,0.391304347826087,0.07031924939224078,34.814,0.058252427184466014,medium,average
1487,6.0,0.64,0.05,1.9,0.066,9.0,17.0,0.99496,3.52,0.78,10.6,5,red,9.375,6.6899999999999995,0.5294117647058824,0.06633432499798987,37.312,0.07358490566037737,high,average
1488,5.6,0.54,0.04,1.7,0.049,5.0,13.0,0.9942,3.72,0.58,11.4,5,red,10.370370370370368,6.18,0.38461538461538464,0.04928585797626232,42.408,0.05087719298245613,high,average
1489,6.2,0.57,0.1,2.1,0.048,4.0,11.0,0.99448,3.44,0.76,10.8,6,red,10.877192982456142,6.87,0.36363636363636365,0.04826643069744992,37.152,0.07037037037037036,medium,average
1490,7.1,0.22,0.49,1.8,0.039,8.0,18.0,0.99344,3.39,0.56,12.4,6,red,32.27272727272727,7.81,0.4444444444444444,0.03925752939281688,42.036,0.04516129032258065,medium,average
1492,6.2,0.65,0.06,1.6,0.05,6.0,18.0,0.99348,3.57,0.54,11.95,5,red,9.538461538461538,6.91,0.3333333333333333,0.050328139469340095,42.6615,0.045188284518828455,high,average
1493,7.7,0.54,0.26,1.9,0.089,23.0,147.0,0.99636,3.26,0.59,9.7,5,red,14.25925925925926,8.5,0.1564625850340136,0.0893251435224216,31.621999999999996,0.060824742268041236,medium,average
1494,6.4,0.31,0.09,1.4,0.066,15.0,28.0,0.99459,3.42,0.7,10.0,7,red,20.645161290322584,6.8,0.5357142857142857,0.06635900220191235,34.2,0.06999999999999999,medium,good
1495,7.0,0.43,0.02,1.9,0.08,15.0,28.0,0.99492,3.35,0.81,10.6,6,red,16.27906976744186,7.449999999999999,0.5357142857142857,0.08040847505327062,35.51,0.07641509433962265,medium,average
1497,6.9,0.74,0.03,2.3,0.054,7.0,16.0,0.99508,3.45,0.63,11.5,6,red,9.324324324324325,7.670000000000001,0.4375,0.05426699360855409,39.675000000000004,0.05478260869565217,medium,average
1498,6.6,0.895,0.04,2.3,0.068,7.0,13.0,0.99582,3.53,0.58,10.8,6,red,7.374301675977653,7.534999999999999,0.5384615384615384,0.06828543311040149,38.124,0.0537037037037037,high,average
1500,7.5,0.725,0.04,1.5,0.076,8.0,15.0,0.99508,3.26,0.53,9.6,5,red,10.344827586206897,8.264999999999999,0.5333333333333333,0.07637576878240945,31.295999999999996,0.05520833333333334,medium,average
1501,7.8,0.82,0.29,4.3,0.083,21.0,64.0,0.99642,3.16,0.53,9.4,5,red,9.512195121951219,8.909999999999998,0.328125,0.08329820758314768,29.704000000000004,0.05638297872340425,medium,average
1502,7.3,0.585,0.18,2.4,0.078,15.0,60.0,0.99638,3.31,0.54,9.8,5,red,12.478632478632479,8.065,0.25,0.07828338585680161,32.438,0.05510204081632653,medium,average
1503,6.2,0.44,0.39,2.5,0.077,6.0,14.0,0.99555,3.51,0.69,11.0,6,red,14.090909090909092,7.03,0.42857142857142855,0.07734418160815629,38.61,0.06272727272727273,high,average
1504,7.5,0.38,0.57,2.3,0.106,5.0,12.0,0.99605,3.36,0.55,11.4,6,red,19.736842105263158,8.45,0.4166666666666667,0.1064203604236735,38.304,0.048245614035087724,medium,average
1505,6.7,0.76,0.02,1.8,0.078,6.0,12.0,0.996,3.55,0.63,9.95,3,red,8.81578947368421,7.4799999999999995,0.5,0.0783132530120482,35.3225,0.06331658291457287,high,poor
1506,6.8,0.81,0.05,2.0,0.07,6.0,14.0,0.99562,3.51,0.66,10.8,6,red,8.395061728395062,7.659999999999999,0.42857142857142855,0.07030794881581327,37.908,0.06111111111111111,high,average
1508,7.1,0.27,0.6,2.1,0.074,17.0,25.0,0.99814,3.38,0.72,10.6,6,red,26.296296296296294,7.969999999999999,0.68,0.07413789648746669,35.827999999999996,0.06792452830188679,medium,average
1509,7.9,0.18,0.4,1.8,0.062,7.0,20.0,0.9941,3.28,0.7,11.1,5,red,43.88888888888889,8.48,0.35,0.062367971029071524,36.407999999999994,0.06306306306306306,medium,average
1510,6.4,0.36,0.21,2.2,0.047,26.0,48.0,0.99661,3.47,0.77,9.7,6,red,17.77777777777778,6.970000000000001,0.5416666666666666,0.04715987196596462,33.659,0.07938144329896908,medium,average
1511,7.1,0.69,0.04,2.1,0.068,19.0,27.0,0.99712,3.44,0.67,9.8,5,red,10.289855072463768,7.829999999999999,0.7037037037037037,0.06819640564826701,33.712,0.06836734693877551,medium,average
1512,6.4,0.79,0.04,2.2,0.061,11.0,17.0,0.99588,3.53,0.65,10.4,6,red,8.10126582278481,7.23,0.6470588235294118,0.06125235972205487,36.711999999999996,0.0625,high,average
1513,6.4,0.56,0.15,1.8,0.078,17.0,65.0,0.99294,3.33,0.6,10.5,6,red,11.428571428571429,7.110000000000001,0.26153846153846155,0.07855459544383346,34.965,0.05714285714285714,medium,average
1514,6.9,0.84,0.21,4.1,0.074,16.0,65.0,0.99842,3.53,0.72,9.233333333,6,red,8.214285714285715,7.95,0.24615384615384617,0.07411710502594099,32.59366666549,0.07797833935299561,high,average
1515,6.9,0.84,0.21,4.1,0.074,16.0,65.0,0.99842,3.53,0.72,9.25,6,red,8.214285714285715,7.95,0.24615384615384617,0.07411710502594099,32.652499999999996,0.07783783783783783,high,average
1516,6.1,0.32,0.25,2.3,0.071,23.0,58.0,0.99633,3.42,0.97,10.6,5,red,19.0625,6.67,0.39655172413793105,0.07126152981441891,36.251999999999995,0.09150943396226416,medium,average
1517,6.5,0.53,0.06,2.0,0.063,29.0,44.0,0.99489,3.38,0.83,10.3,6,red,12.264150943396226,7.09,0.6590909090909091,0.06332358351174501,34.814,0.08058252427184465,medium,average
1518,7.4,0.47,0.46,2.2,0.114,7.0,20.0,0.99647,3.32,0.63,10.5,5,red,15.744680851063832,8.33,0.35,0.11440384557487933,34.86,0.06,medium,average
1519,6.6,0.7,0.08,2.6,0.106,14.0,27.0,0.99665,3.44,0.58,10.2,5,red,9.428571428571429,7.38,0.5185185185185185,0.10635629358350474,35.087999999999994,0.056862745098039215,medium,average
1521,6.9,0.48,0.2,1.9,0.082,9.0,23.0,0.99585,3.39,0.43,9.05,4,red,14.375000000000002,7.580000000000001,0.391304347826087,0.08234171813024051,30.679500000000004,0.047513812154696126,medium,poor
1523,6.8,0.48,0.25,2.0,0.076,29.0,61.0,0.9953,3.34,0.6,10.4,5,red,14.166666666666666,7.529999999999999,0.47540983606557374,0.0763588867678087,34.736,0.05769230769230769,medium,average
1524,6.0,0.42,0.19,2.0,0.075,22.0,47.0,0.99522,3.39,0.78,10.0,6,red,14.285714285714286,6.61,0.46808510638297873,0.07536022186049315,33.9,0.078,medium,average
1525,6.7,0.48,0.08,2.1,0.064,18.0,34.0,0.99552,3.33,0.64,9.7,5,red,13.958333333333334,7.26,0.5294117647058824,0.06428801028608165,32.300999999999995,0.06597938144329897,medium,average
1526,6.8,0.47,0.08,2.2,0.064,18.0,38.0,0.99553,3.3,0.65,9.6,6,red,14.46808510638298,7.35,0.47368421052631576,0.06428736451940173,31.679999999999996,0.06770833333333334,medium,average
1527,7.1,0.53,0.07,1.7,0.071,15.0,24.0,0.9951,3.29,0.66,10.8,6,red,13.396226415094338,7.7,0.625,0.07134961310421063,35.532000000000004,0.06111111111111111,medium,average
1528,7.9,0.29,0.49,2.2,0.096,21.0,59.0,0.99714,3.31,0.67,10.1,6,red,27.24137931034483,8.68,0.3559322033898305,0.09627534749383236,33.431,0.06633663366336634,medium,average
1529,7.1,0.69,0.08,2.1,0.063,42.0,52.0,0.99608,3.42,0.6,10.2,6,red,10.289855072463768,7.869999999999999,0.8076923076923077,0.06324793189302064,34.884,0.058823529411764705,medium,average
1530,6.6,0.44,0.09,2.2,0.063,9.0,18.0,0.99444,3.42,0.69,11.3,6,red,15.0,7.13,0.5,0.06335223844575842,38.646,0.06106194690265486,medium,average
1531,6.1,0.705,0.1,2.8,0.081,13.0,28.0,0.99631,3.6,0.66,10.2,5,red,8.652482269503546,6.904999999999999,0.4642857142857143,0.081299996988889,36.72,0.06470588235294118,high,average
1532,7.2,0.53,0.13,2.0,0.058,18.0,22.0,0.99573,3.21,0.68,9.9,6,red,13.584905660377359,7.86,0.8181818181818182,0.058248722043124146,31.779,0.06868686868686869,medium,average
1533,8.0,0.39,0.3,1.9,0.074,32.0,84.0,0.99717,3.39,0.61,9.0,5,red,20.51282051282051,8.690000000000001,0.38095238095238093,0.07421001434058384,30.51,0.06777777777777777,medium,average
1534,6.6,0.56,0.14,2.4,0.064,13.0,29.0,0.99397,3.42,0.62,11.7,7,red,11.785714285714285,7.3,0.4482758620689655,0.06438826121512722,40.013999999999996,0.052991452991453,medium,good
1535,7.0,0.55,0.13,2.2,0.075,15.0,35.0,0.9959,3.36,0.59,9.7,6,red,12.727272727272727,7.68,0.42857142857142855,0.07530876594035546,32.592,0.060824742268041236,medium,average
1536,6.1,0.53,0.08,1.9,0.077,24.0,45.0,0.99528,3.6,0.68,10.3,6,red,11.509433962264149,6.71,0.5333333333333333,0.07736516357206012,37.080000000000005,0.06601941747572816,high,average
1537,5.4,0.58,0.08,1.9,0.059,20.0,31.0,0.99484,3.5,0.64,10.2,6,red,9.310344827586208,6.0600000000000005,0.6451612903225806,0.05930601905834104,35.699999999999996,0.06274509803921569,high,average
1538,6.2,0.64,0.09,2.5,0.081,15.0,26.0,0.99538,3.57,0.63,12.0,5,red,9.6875,6.93,0.5769230769230769,0.0813759569209749,42.839999999999996,0.0525,high,average
1539,7.2,0.39,0.32,1.8,0.065,34.0,60.0,0.99714,3.46,0.78,9.9,5,red,18.46153846153846,7.91,0.5666666666666667,0.065186433198949,34.254,0.07878787878787878,medium,average
1540,6.2,0.52,0.08,4.4,0.071,11.0,32.0,0.99646,3.56,0.63,11.6,6,red,11.923076923076923,6.800000000000001,0.34375,0.07125223290448186,41.296,0.05431034482758621,high,average
1541,7.4,0.25,0.29,2.2,0.054,19.0,49.0,0.99666,3.4,0.76,10.9,7,red,29.6,7.94,0.3877551020408163,0.0541809644211667,37.06,0.06972477064220184,medium,good
1542,6.7,0.855,0.02,1.9,0.064,29.0,38.0,0.99472,3.3,0.56,10.75,6,red,7.836257309941521,7.574999999999999,0.7631578947368421,0.06433971368827408,35.475,0.052093023255813956,medium,average
1543,11.1,0.44,0.42,2.2,0.064,14.0,19.0,0.99758,3.25,0.57,10.4,6,red,25.227272727272727,11.959999999999999,0.7368421052631579,0.0641552557188396,33.800000000000004,0.0548076923076923,medium,average
1544,8.4,0.37,0.43,2.3,0.063,12.0,19.0,0.9955,3.17,0.81,11.2,7,red,22.702702702702705,9.2,0.631578947368421,0.06328478151682572,35.504,0.07232142857142858,medium,good
1545,6.5,0.63,0.33,1.8,0.059,16.0,28.0,0.99531,3.36,0.64,10.1,6,red,10.317460317460318,7.46,0.5714285714285714,0.05927801388512122,33.936,0.06336633663366337,medium,average
1546,7.0,0.57,0.02,2.0,0.072,17.0,26.0,0.99575,3.36,0.61,10.2,5,red,12.280701754385966,7.59,0.6538461538461539,0.07230730605071553,34.272,0.059803921568627454,medium,average
1547,6.3,0.6,0.1,1.6,0.048,12.0,26.0,0.99306,3.55,0.51,12.1,5,red,10.5,6.999999999999999,0.46153846153846156,0.04833544800918373,42.955,0.042148760330578516,high,average
1548,11.2,0.4,0.5,2.0,0.099,19.0,50.0,0.99783,3.1,0.58,10.4,5,red,27.999999999999996,12.1,0.38,0.09921529719491297,32.24,0.055769230769230765,medium,average
1549,7.4,0.36,0.3,1.8,0.074,17.0,24.0,0.99419,3.24,0.7,11.4,8,red,20.555555555555557,8.06,0.7083333333333334,0.0744324525493115,36.93600000000001,0.06140350877192982,medium,good
1550,7.1,0.68,0.0,2.3,0.087,17.0,26.0,0.99783,3.45,0.53,9.5,5,red,10.441176470588234,7.779999999999999,0.6538461538461539,0.08718920056522654,32.775,0.05578947368421053,medium,average
